timestamp_ms,event,best_bid,best_ask,mid_price,last_trade_price,last_trade_qty,vwap,sma,rsi,signal,signal_reason
1772090031345,trade,68223.80,68223.81,68223.80,68223.80,0.000750,68232.08,68223.81,0.0,NONE,RSI exited overbought zone
1772090031429,trade,68223.80,68223.81,68223.80,68223.80,0.000750,68232.07,68223.81,0.0,NONE,RSI exited overbought zone
1772090031516,trade,68223.80,68223.81,68223.80,68223.80,0.031350,68231.76,68223.80,0.0,NONE,RSI exited overbought zone
1772090031599,trade,68223.80,68223.81,68223.80,68223.80,0.031350,68231.40,68223.80,0.0,NONE,RSI exited overbought zone
1772090031683,trade,68223.80,68223.81,68223.80,68223.80,0.031350,68231.08,68223.80,0.0,NONE,RSI exited overbought zone
1772090031768,trade,68223.80,68223.81,68223.80,68223.80,0.031350,68230.78,68223.80,0.0,NONE,RSI exited overbought zone
1772090031854,trade,68223.80,68223.81,68223.80,68223.80,0.031350,68230.51,68223.80,0.0,NONE,RSI exited overbought zone
1772090031942,trade,68223.80,68223.81,68223.80,68223.81,0.000140,68230.35,68223.80,99.0,NONE,RSI exited oversold zone
1772090032031,trade,68223.80,68223.81,68223.80,68223.81,0.000140,68230.35,68223.80,99.0,NONE,RSI exited oversold zone
1772090032119,trade,68223.80,68223.81,68223.80,68223.81,0.000760,68230.35,68223.81,99.0,NONE,RSI exited oversold zone
1772090032214,trade,68223.80,68223.81,68223.80,68223.81,0.000760,68230.34,68223.81,0.0,NONE,RSI exited overbought zone
1772090032303,trade,68223.80,68223.81,68223.80,68223.81,0.000760,68230.34,68223.81,0.0,NONE,RSI exited overbought zone
1772090032389,trade,68223.80,68223.81,68223.80,68223.80,0.000740,68230.33,68223.81,0.0,NONE,RSI exited overbought zone
1772090032473,trade,68223.80,68223.81,68223.80,68223.80,0.000740,68230.33,68223.81,0.0,NONE,RSI exited overbought zone
1772090032557,trade,68223.80,68223.81,68223.80,68223.80,0.015000,68230.27,68223.80,0.0,NONE,RSI exited overbought zone
1772090032675,trade,68223.80,68223.81,68223.80,68223.80,0.015000,68230.16,68223.80,0.0,NONE,RSI exited overbought zone
1772090032759,trade,68223.80,68223.81,68223.80,68223.80,0.015000,68230.05,68223.80,0.0,NONE,RSI exited overbought zone
1772090032842,trade,68223.80,68223.81,68223.80,68223.80,0.015000,68229.94,68223.80,0.0,NONE,RSI exited overbought zone
1772090032926,trade,68223.80,68223.81,68223.80,68223.80,0.015000,68229.84,68223.80,0.0,NONE,RSI exited overbought zone
1772090033009,trade,68223.80,68223.81,68223.80,68223.81,0.000760,68229.83,68223.80,99.0,NONE,RSI exited oversold zone
1772090033093,trade,68223.80,68223.81,68223.80,68223.81,0.000760,68229.83,68223.81,99.0,NONE,RSI exited oversold zone
1772090033176,trade,68223.80,68223.81,68223.80,68223.81,0.000760,68229.82,68223.81,0.0,SELL,RSI exited overbought zone
1772090033259,trade,68223.80,68223.81,68223.80,68223.81,0.000760,68229.82,68223.81,0.0,NONE,RSI exited overbought zone
1772090033342,trade,68223.80,68223.81,68223.80,68223.81,0.000760,68229.81,68223.81,0.0,NONE,RSI exited overbought zone
1772090033426,trade,68223.80,68223.81,68223.80,68223.81,0.000760,68229.81,68223.81,0.0,NONE,RSI exited overbought zone
1772090033510,trade,68223.80,68223.81,68223.80,68223.81,0.000760,68229.80,68223.81,0.0,NONE,RSI exited overbought zone
1772090033593,trade,68223.80,68223.81,68223.80,68223.81,0.000760,68229.80,68223.81,0.0,NONE,RSI exited overbought zone
1772090033676,trade,68223.80,68223.81,68223.80,68223.81,0.000760,68229.79,68223.81,0.0,NONE,RSI exited overbought zone
1772090033761,trade,68223.80,68223.81,68223.80,68223.81,0.000760,68229.78,68223.81,0.0,NONE,RSI exited overbought zone
1772090033844,trade,68223.80,68223.81,68223.80,68223.81,0.000760,68229.78,68223.81,0.0,NONE,RSI exited overbought zone
